Altitude	 Weight	 Dynamic Pressure	 Pitch1	 Pitch2	 Airspeed	 Vertical speed	 Groundspeed	CL
1.763341784	127.9639476	5.12E-08	0.387926113	-45.14828073	0.027803843	-0.019711101	0.01960934	2.50E+09
1.763926983	127.9639476	1.51E-07	0.543930051	-0.070889478	0.166758028	-0.000206322	0.1667579	8.46E+08
1.78752923	127.8449825	0.024771994	1.161658382	0.283509512	67.6404774	0.334695516	67.63964933	5.16E+03
1.780682921	127.6809704	0.106599753	0.84992311	0.010635239	138.8693942	0.025776928	138.8693918	1.20E+03
84.37430573	127.5369137	0.130670942	14.09732003	10.9580194	154.049173	29.28316204	151.2403522	9.76E+02
635.7381556	127.3978529	0.140252563	26.15293952	22.29805439	164.5330066	62.42789351	152.2296567	9.08E+02
1018.416868	127.2455447	0.23484267	1.118615157	-0.884500462	218.3100933	-3.370016265	218.2840806	5.42E+02
916.2248535	127.1028445	0.341529261	-0.224084505	-2.951291229	260.9915144	-13.43766333	260.6453525	3.72E+02
864.2028809	127.0054907	0.31867385	8.469597677	0.538304604	250.0831844	2.349543894	250.0721471	3.99E+02
842.8448853	126.9197191	0.300975554	1.942545994	-0.855236142	243.6450158	-3.636677735	243.6178735	4.22E+02
810.0718994	126.8539028	0.268626275	-0.276178849	-3.27720395	229.6927005	-13.13080035	229.3170704	4.72E+02
773.053833	126.7890128	0.229550961	2.17051817	-0.860968274	211.8922589	-3.183928177	211.8683364	5.52E+02
697.7913818	126.7170593	0.234138325	-1.766771395	-4.173748676	213.2499498	-15.52059745	212.6843957	5.41E+02
665.0386335	126.6409426	0.222680329	1.885392814	-1.411731242	207.4412424	-5.11070195	207.378277	5.69E+02
618.865581	126.5644516	0.220402768	1.909366315	-0.343959144	205.8818745	-1.23594667	205.8781647	5.74E+02
598.1479981	126.4878391	0.222972718	3.22015607	-1.146410044	206.6876989	-4.135261724	206.646327	5.67E+02
583.6891416	126.3904104	0.231218412	4.055414428	-2.57098517	209.3905665	-9.392653438	209.1797968	5.47E+02
850.5430298	126.2375502	0.105336382	19.13896716	16.05742132	143.7454182	39.7600668	138.1371867	1.20E+03
1087.416013	126.090219	0.112548493	17.46198696	4.655343219	151.3201812	12.28140267	150.820968	1.12E+03
1117.915894	125.9418214	0.217241493	-0.467311755	-3.080583845	211.3441874	-11.3577275	211.0387821	5.80E+02
1138.831784	125.7870526	0.296798365	3.632508354	2.331326214	247.0890741	10.051112	246.8845595	4.24E+02
1080.417236	125.638524	0.387225006	1.327475225	-1.175268809	280.6979731	-5.757360168	280.6389227	3.24E+02
1042.666748	125.536745	0.359061205	2.662219331	-1.056885451	269.4627946	-4.970264118	269.4169522	3.50E+02
1058.060866	125.4498413	0.30989409	3.928307328	0.584786763	250.4334365	2.555993079	250.4203926	4.05E+02
1069.876099	125.3774856	0.271152712	3.960870836	0.224734998	234.4382953	0.91955036	234.4364919	4.62E+02
1033.518626	125.3060466	0.252719417	0.998647546	-1.626300734	226.0255784	-6.414716939	225.9345337	4.96E+02
943.2277802	125.2252989	0.207476215	3.923170905	-0.659140103	203.3406436	-2.339212721	203.3271881	6.04E+02
733.2509155	125.1303308	0.250450539	-0.660626047	-9.711855588	220.3018259	-37.1634501	217.1445888	5.00E+02
458.1516418	125.0370747	0.28304077	-4.52136087	-8.47064779	230.9776454	-34.02363684	228.4580154	4.42E+02
346.5670047	124.9895017	0.173782545	-11.82659678	-10.13706848	178.5618394	-31.427532	175.7744029	7.19E+02
43.9421463	124.9874529	0.081111168	2.779589538	-6.666645942	120.3960779	-13.97708827	119.5820077	1.54E+03
2.541465044	124.9874435	0.029251227	7.135251242	2.116883675	70.76627069	2.613977593	70.71797642	4.27E+03
1.738835096	124.9874435	0.001881075	0.102542547	0.022285045	17.66433485	0.006870497	17.66433351	6.64E+04
								
								
0.387926113	2.50E+09							
0.543930051	8.46E+08							
1.161658382	5.16E+03							
0.84992311	1.20E+03							
14.09732003	9.76E+02							
26.15293952	9.08E+02							
1.118615157	5.42E+02							
-0.224084505	3.72E+02							
8.469597677	3.99E+02							
1.942545994	4.22E+02							
-0.276178849	4.72E+02							
2.17051817	5.52E+02							
-1.766771395	5.41E+02							
1.885392814	5.69E+02							
1.909366315	5.74E+02							
3.22015607	5.67E+02							
4.055414428	5.47E+02							
19.13896716	1.20E+03							
17.46198696	1.12E+03							
-0.467311755	5.80E+02							
3.632508354	4.24E+02							
1.327475225	3.24E+02							
2.662219331	3.50E+02							
3.928307328	4.05E+02							
3.960870836	4.62E+02							
0.998647546	4.96E+02							
3.923170905	6.04E+02							
-0.660626047	5.00E+02							
-4.52136087	4.42E+02							
-11.82659678	7.19E+02							
2.779589538	1.54E+03							
7.135251242	4.27E+03							
0.102542547	6.64E+04							
